longitud;L;M;S;-3;-2;-1;0;1;2;3
45;-0.3521;2.441;0.09182;1.9;2;2.2;2.4;2.7;3;3.3
45.5;-0.3521;25.244;0.09153;1.9;2.1;2.3;2.5;2.8;3.1;3.4
46;-0.3521;26.077;0.09124;2;2.2;2.4;2.6;2.9;3.1;3.5
46.5;-0.3521;26.913;0.09094;2.1;2.3;2.5;2.7;3;3.2;3.6
47;-0.3521;27.755;0.09065;2.1;2.3;2.5;2.8;3;3.3;3.7
47.5;-0.3521;28.609;0.09036;2.2;2.4;2.6;2.9;3.1;3.4;3.8
48;-0.3521;2.948;0.09007;2.3;2.5;2.7;2.9;3.2;3.6;3.9
48.5;-0.3521;30.377;0.08977;2.3;2.6;2.8;3;3.3;3.7;4
49;-0.3521;31.308;0.08948;2.4;2.6;2.9;3.1;3.4;3.8;4.2
49.5;-0.3521;32.276;0.08919;2.5;2.7;3;3.2;3.5;3.9;4.3
50;-0.3521;33.278;0.0889;2.6;2.8;3;3.3;3.6;4;4.4
50.5;-0.3521;34.311;0.08861;2.7;2.9;3.1;3.4;3.8;4.1;4.5
51;-0.3521;35.376;0.08831;2.7;3;3.2;3.5;3.9;4.2;4.7
51.5;-0.3521;36.477;0.08801;2.8;3.1;3.3;3.6;4;4.4;4.8
52;-0.3521;3.762;0.08771;2.9;3.2;3.5;3.8;4.1;4.5;5
52.5;-0.3521;38.814;0.08741;3;3.3;3.6;3.9;4.2;4.6;5.1
53;-0.3521;4.006;0.08711;3.1;3.4;3.7;4;4.4;4.8;5.3
53.5;-0.3521;41.354;0.08681;3.2;3.5;3.8;4.1;4.5;4.9;5.4
54;-0.3521;42.693;0.08651;3.3;3.6;3.9;4.3;4.7;5.1;5.6
54.5;-0.3521;44.066;0.08621;3.4;3.7;4;4.4;4.8;5.3;5.8
55;-0.3521;45.467;0.08592;3.6;3.8;4.2;4.5;5;5.4;6
55.5;-0.3521;46.892;0.08563;3.7;4;4.3;4.7;5.1;5.6;6.1
56;-0.3521;48.338;0.08535;3.8;4.1;4.4;4.8;5.3;5.8;6.3
56.5;-0.3521;49.796;0.08507;3.9;4.2;4.6;5;5.4;5.9;6.5
57;-0.3521;51.259;0.08481;4;4.3;4.7;5.1;5.6;6.1;6.7
57.5;-0.3521;52.721;0.08455;4.1;4.5;4.9;5.3;5.7;6.3;6.9
58;-0.3521;5.418;0.0843;4.3;4.6;5;5.4;5.9;6.4;7.1
58.5;-0.3521;55.632;0.08406;4.4;4.7;5.1;5.6;6.1;6.6;7.2
59;-0.3521;57.074;0.08383;4.5;4.8;5.3;5.7;6.2;6.8;7.4
59.5;-0.3521;58.501;0.08362;4.6;5;5.4;5.9;6.4;7;7.6
60;-0.3521;59.907;0.08342;4.7;5.1;5.5;6;6.5;7.1;7.8
60.5;-0.3521;61.284;0.08324;4.8;5.2;5.6;6.1;6.7;7.3;8
61;-0.3521;62.632;0.08308;4.9;5.3;5.8;6.3;6.8;7.4;8.1
61.5;-0.3521;63.954;0.08292;5;5.4;5.9;6.4;7;7.6;8.3
62;-0.3521;65.251;0.08279;5.1;5.6;6;6.5;7.1;7.7;8.5
62.5;-0.3521;66.527;0.08266;5.2;5.7;6.1;6.7;7.2;7.9;8.6
63;-0.3521;67.786;0.08255;5.3;5.8;6.2;6.8;7.4;8;8.8
63.5;-0.3521;69.028;0.08245;5.4;5.9;6.4;6.9;7.5;8.2;8.9
64;-0.3521;70.255;0.08236;5.5;6;6.5;7;7.6;8.3;9.1
64.5;-0.3521;71.467;0.08229;5.6;6.1;6.6;7.1;7.8;8.5;9.3
65;-0.3521;72.666;0.08223;5.7;6.2;6.7;7.3;7.9;8.6;9.4
65.5;-0.3521;73.854;0.08218;5.8;6.3;6.8;7.4;8;8.7;9.6
66;-0.3521;75.034;0.08215;5.9;6.4;6.9;7.5;8.2;8.9;9.7
66.5;-0.3521;76.206;0.08213;6;6.5;7;7.6;8.3;9;9.9
67;-0.3521;7.737;0.08212;6.1;6.6;7.1;7.7;8.4;9.2;10
67.5;-0.3521;78.526;0.08212;6.2;6.7;7.2;7.9;8.5;9.3;10.2
68;-0.3521;79.674;0.08214;6.3;6.8;7.3;8;8.7;9.4;10.3
68.5;-0.3521;80.816;0.08216;6.4;6.9;7.5;8.1;8.8;9.6;10.5
69;-0.3521;81.955;0.08219;6.5;7;7.6;8.2;8.9;9.7;10.6
69.5;-0.3521;83.092;0.08224;6.6;7.1;7.7;8.3;9;9.8;10.8
70;-0.3521;84.227;0.08229;6.6;7.2;7.8;8.4;9.2;10;10.9
70.5;-0.3521;85.358;0.08235;6.7;7.3;7.9;8.5;9.3;10.1;11.1
71;-0.3521;8.648;0.08241;6.8;7.4;8;8.6;9.4;10.2;11.2
71.5;-0.3521;87.594;0.08248;6.9;7.5;8.1;8.8;9.5;10.4;11.3
72;-0.3521;88.697;0.08254;7;7.6;8.2;8.9;9.6;10.5;11.5
72.5;-0.3521;89.788;0.08262;7.1;7.6;8.3;9;9.8;10.6;11.6
73;-0.3521;90.865;0.08269;7.2;7.7;8.4;9.1;9.9;10.8;11.8
73.5;-0.3521;91.927;0.08276;7.2;7.8;8.5;9.2;10;10.9;11.9
74;-0.3521;92.974;0.08283;7.3;7.9;8.6;9.3;10.1;11;12.1
74.5;-0.3521;9.401;0.08289;7.4;8;8.7;9.4;10.2;11.2;12.2
75;-0.3521;95.032;0.08295;7.5;8.1;8.8;9.5;10.3;11.3;12.3
75.5;-0.3521;96.041;0.08301;7.6;8.2;8.8;9.6;10.4;11.4;12.5
76;-0.3521;97.033;0.08307;7.6;8.3;8.9;9.7;10.6;11.5;12.6
76.5;-0.3521;98.007;0.08311;7.7;8.3;9;9.8;10.7;11.6;12.7
77;-0.3521;98.963;0.08314;7.8;8.4;9.1;9.9;10.8;11.7;12.8
77.5;-0.3521;99.902;0.08317;7.9;8.5;9.2;10;10.9;11.9;13
78;-0.3521;100.827;0.08318;7.9;8.6;9.3;10.1;11;12;13.1
78.5;-0.3521;101.741;0.08318;8;8.7;9.4;10.2;11.1;12.1;13.2
79;-0.3521;102.649;0.08316;8.1;8.7;9.5;10.3;11.2;12.2;13.3
79.5;-0.3521;103.558;0.08313;8.2;8.8;9.5;10.4;11.3;12.3;13.4
80;-0.3521;104.475;0.08308;8.2;8.9;9.6;10.4;11.4;12.4;13.6
80.5;-0.3521;105.405;0.08301;8.3;9;9.7;10.5;11.5;12.5;13.7
81;-0.3521;106.352;0.08293;8.4;9.1;9.8;10.6;11.6;12.6;13.8
81.5;-0.3521;107.322;0.08284;8.5;9.1;9.9;10.7;11.7;12.7;13.9
82;-0.3521;108.321;0.08273;8.5;9.2;10;10.8;11.8;12.8;14
82.5;-0.3521;10.935;0.0826;8.6;9.3;10.1;10.9;11.9;13;14.2
83;-0.3521;110.415;0.08246;8.7;9.4;10.2;11;12;13.1;14.3
83.5;-0.3521;111.516;0.08231;8.8;9.5;10.3;11.2;12.1;13.2;14.4
84;-0.3521;112.651;0.08215;8.9;9.6;10.4;11.3;12.2;13.3;14.6
84.5;-0.3521;113.817;0.08198;9;9.7;10.5;11.4;12.4;13.5;14.7
85;-0.3521;115.007;0.08181;9.1;9.8;10.6;11.5;12.5;13.6;14.9
